disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
ヘルパンギーナ,sentinel/その他,D_growth,12,12,13,0.923
ヘルパンギーナ,sentinel/その他,D_spatial,0,0,13,0.0
ヘルパンギーナ,sentinel/その他,combined,20,20,13,1.538
ヘンドラウイルス感染症,全数把握,D_rare,0,0,13,0.0
ヘンドラウイルス感染症,全数把握,D_stat,0,0,13,0.0
ヘンドラウイルス感染症,全数把握,D_growth,0,0,13,0.0
ヘンドラウイルス感染症,全数把握,D_spatial,0,0,13,0.0
ヘンドラウイルス感染症,全数把握,combined,0,0,13,0.0
ベネズエラウマ脳炎,全数把握,D_rare,0,0,13,0.0
ベネズエラウマ脳炎,全数把握,D_stat,0,0,13,0.0
ベネズエラウマ脳炎,全数把握,D_growth,0,0,13,0.0
ベネズエラウマ脳炎,全数把握,D_spatial,0,0,13,0.0
ベネズエラウマ脳炎,全数把握,combined,0,0,13,0.0
ペスト,全数把握,D_rare,0,0,13,0.0
ペスト,全数把握,D_stat,0,0,13,0.0
ペスト,全数把握,D_growth,0,0,13,0.0
ペスト,全数把握,D_spatial,0,0,13,0.0
ペスト,全数把握,combined,0,0,13,0.0
ボツリヌス症,全数把握,D_rare,0,0,13,0.0
ボツリヌス症,全数把握,D_stat,0,0,13,0.0
ボツリヌス症,全数把握,D_growth,0,0,13,0.0
ボツリヌス症,全数把握,D_spatial,0,0,13,0.0
ボツリヌス症,全数把握,combined,0,0,13,0.0
マイコプラズマ肺炎,sentinel/その他,D_rare,0,0,13,0.0
マイコプラズマ肺炎,sentinel/その他,D_stat,5,5,13,0.385
マイコプラズマ肺炎,sentinel/その他,D_growth,0,0,13,0.0
マイコプラズマ肺炎,sentinel/その他,D_spatial,0,0,13,0.0
マイコプラズマ肺炎,sentinel/その他,combined,5,5,13,0.385
マラリア,全数把握,D_rare,34,34,13,2.615
マラリア,全数把握,D_stat,0,0,13,0.0
マラリア,全数把握,D_growth,0,0,13,0.0
マラリア,全数把握,D_spatial,0,0,13,0.0
マラリア,全数把握,combined,34,34,13,2.615
マールブルグ病,全数把握,D_rare,0,0,13,0.0
マールブルグ病,全数把握,D_stat,0,0,13,0.0
マールブルグ病,全数把握,D_growth,0,0,13,0.0
マールブルグ病,全数把握,D_spatial,0,0,13,0.0
マールブルグ病,全数把握,combined,0,0,13,0.0
ライム病,全数把握,D_rare,7,7,13,0.538
ライム病,全数把握,D_stat,0,0,13,0.0
ライム病,全数把握,D_growth,0,0,13,0.0
ライム病,全数把握,D_spatial,0,0,13,0.0
ライム病,全数把握,combined,7,7,13,0.538
ラッサ熱,全数把握,D_rare,0,0,13,0.0
ラッサ熱,全数把握,D_stat,0,0,13,0.0
ラッサ熱,全数把握,D_growth,0,0,13,0.0
ラッサ熱,全数把握,D_spatial,0,0,13,0.0
ラッサ熱,全数把握,combined,0,0,13,0.0
リッサウイルス感染症,全数把握,D_rare,0,0,13,0.0
リッサウイルス感染症,全数把握,D_stat,0,0,13,0.0
リッサウイルス感染症,全数把握,D_growth,0,0,13,0.0
リッサウイルス感染症,全数把握,D_spatial,0,0,13,0.0
リッサウイルス感染症,全数把握,combined,0,0,13,0.0
